| **Section** | **Title**                                          | **Concepts to Explain**                                                                                                                                                                                                                                                                                         |
| ----------- | -------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **8**       | First Look at RAG                                  | • What is RAG?<br>• Why LLMs hallucinate<br>• Why RAG is needed<br>• RAG Architecture (Retriever + Knowledge Base + LLM)<br>• Documents vs Embeddings (high-level)<br>• Retrieval Process<br>• Prompt Augmentation<br>• Airline Policy Knowledge Base<br>• Simple RAG Workflow                                  |
| **9**       | How LLM Tool Calling Really Works                  | • What is Tool Calling?<br>• LLM vs Python Functions<br>• Why LLMs cannot execute code directly<br>• Tool Definitions<br>• JSON Schema<br>• Function Name<br>• Parameters<br>• Required Fields<br>• Tool Choice<br>• Tool Arguments<br>• Assistant Tool Calls<br>• Tool Messages<br>• Final Response Generation |
| **10**      | Common Tool Calling Use Cases & Airline Assistant  | • Common Tool Calling Use Cases<br>• Weather APIs<br>• Database Queries<br>• Booking Systems<br>• Flight Status<br>• Airline Assistant with Tool Calling<br>• Integrating OpenAI + Gradio + Tools                                                                                                               |
| **11**      | Handling Multiple Tool Calls                       | • Single Tool Call vs Multiple Tool Calls<br>• Sequential Tool Calls<br>• Parallel Tool Calls (concept)<br>• Processing Multiple Tool Responses<br>• Combining Results into One Final Response                                                                                                                  |
| **12**      | Tool Calling with SQLite Database                  | • Introduction to SQLite<br>• Database Connection<br>• Creating Tables<br>• CRUD Operations<br>• Tool Calling + Database Integration<br>• Reading from SQLite<br>• Writing to SQLite<br>• Updating Records<br>• Returning Database Results to the LLM                                                           |
| **13**      | Introduction to Agentic AI                         | • What is Agentic AI?<br>• Traditional Chatbot vs Tool Calling vs Agent<br>• Reasoning<br>• Planning<br>• Acting<br>• Observation<br>• Agent Loop<br>• Decision Making                                                                                                                                          |
| **14**      | Building Multi-Tool Agent Workflows                | • Multi-Step Reasoning<br>• Tool Chaining<br>• Workflow Execution<br>• Planning Multiple Actions<br>• Dynamic Decision Making<br>• Multi-Tool Airline Assistant Workflow                                                                                                                                        |
| **15**      | Building Multi-Modal Apps                          | • What is Multi-Modality?<br>• Combining Text + Images + Audio<br>• Using Gradio Blocks (only if needed for multimodal UI)<br>• Designing Multi-Modal Interfaces                                                                                                                                                |
| **16**      | DALL·E 3 Integration                               | • Image Generation with DALL·E<br>• Prompt Engineering for Images<br>• Generating Travel Posters<br>• Boarding Pass Images<br>• Displaying Images in Gradio                                                                                                                                                     |
| **17**      | Text-to-Speech (TTS)                               | • What is Text-to-Speech?<br>• OpenAI TTS API<br>• Voice Selection<br>• Generating Audio<br>• Playing Audio in Gradio                                                                                                                                                                                           |
| **18**      | Running the Complete Multi-Modal Airline Assistant | • Integrating Chat + Tool Calling + SQLite + RAG + DALL·E + TTS<br>• End-to-End Workflow<br>• Production-style Project Structure<br>• Multi-Model Assistant                                                                                                                                                     |
| **19**      | Generate SVG Art in Python                         | • What is SVG?<br>• SVG Structure<br>• Generating SVG using Python<br>• Generating SVG using GPT<br>• Displaying SVG in Gradio<br>• Airline-themed SVG Examples (logo, airplane, boarding pass, icons)                                                                                                          |
